iter	Passed	Remaining
0	1	1677
1	3	2334
2	5	2662
3	7	2727
4	8	2621
5	10	2547
6	11	2488
7	13	2571
8	15	2540
9	16	2529
10	18	2494
11	20	2488
12	20	2331
13	21	2322
14	23	2306
15	24	2283
16	25	2267
17	27	2257
18	29	2291
19	30	2273
20	32	2255
21	32	2208
22	35	2255
23	36	2257
24	38	2244
25	39	2234
26	40	2221
27	42	2222
28	43	2227
29	45	2223
30	46	2190
31	48	2203
32	49	2201
33	50	2166
34	52	2194
35	53	2192
36	54	2142
37	55	2151
38	57	2168
39	59	2173
40	60	2169
41	62	2163
42	63	2156
43	65	2156
44	66	2162
45	68	2158
46	69	2158
47	71	2153
48	73	2165
49	74	2166
50	76	2159
51	77	2154
52	78	2147
53	80	2143
54	81	2137
55	82	2139
56	84	2132
57	85	2124
58	86	2120
59	88	2119
60	89	2114
61	91	2125
62	93	2121
63	94	2123
64	96	2123
65	97	2121
66	98	2116
67	100	2117
68	101	2114
69	103	2116
70	104	2110
71	106	2104
72	107	2100
73	108	2094
74	109	2089
75	111	2092
76	112	2088
77	114	2083
78	115	2080
79	117	2077
80	119	2090
81	121	2097
82	122	2094
83	123	2090
84	125	2085
85	126	2083
86	128	2084
87	129	2080
88	131	2077
89	132	2073
90	134	2077
91	135	2075
92	136	2071
93	138	2072
94	139	2067
95	141	2062
96	142	2063
97	144	2060
98	145	2059
99	148	2072
100	150	2086
101	152	2086
102	153	2084
103	155	2080
104	156	2078
105	158	2078
106	160	2086
107	162	2089
108	163	2085
109	165	2085
110	167	2096
111	169	2099
112	170	2094
113	172	2098
114	174	2104
115	176	2102
116	177	2098
117	179	2102
118	180	2098
119	182	2103
120	184	2099
121	185	2100
122	187	2101
123	189	2104
124	191	2110
125	193	2106
126	195	2111
127	196	2110
128	198	2107
129	199	2103
130	200	2100
131	202	2101
132	204	2104
133	206	2105
134	207	2101
135	209	2097
136	210	2095
137	212	2097
138	214	2096
139	215	2092
140	216	2088
141	217	2083
142	219	2079
143	220	2080
144	222	2076
145	223	2072
146	224	2068
147	226	2067
148	227	2065
149	229	2064
150	230	2061
151	232	2057
152	233	2053
153	234	2049
154	235	2046
155	237	2044
156	238	2042
