iter	MAPE	MAE
0	0.9606926945	46981993.89
1	0.9288128059	45910890.47
2	0.897933382	44987280.62
3	0.862068046	43834773.67
4	0.8274805601	42789344.71
5	0.8010963852	42028373.49
6	0.7751020231	41076643.51
7	0.7524411953	40219074.67
8	0.7288737024	39301540.08
9	0.7055009501	38606798.97
10	0.6832277345	37894043.51
11	0.6653560588	37198937.96
12	0.6469173272	36536956.66
13	0.6291176982	35806507.22
14	0.6097792338	35243339.03
15	0.5912751538	34691787.13
16	0.5766415379	34136906.46
17	0.5580376143	33518695.47
18	0.5398239529	32934217.69
19	0.5220350515	32398947.6
20	0.5058228582	31873115.72
21	0.4892511817	31332281.95
22	0.4761275572	30892004.67
23	0.463150722	30514604.65
24	0.4496862554	30077939.6
25	0.4365048002	29658545.98
26	0.4238493169	29266556.32
27	0.4142588354	28684060.65
28	0.4024938576	28211322.04
29	0.390991368	27765731.19
30	0.3799387515	27252555.89
31	0.3691027327	26848530.48
32	0.3594223295	26440695.01
33	0.3493071094	25830090.66
34	0.3396461801	25346726.04
35	0.3309573617	24946520.54
36	0.3232728609	24675053.01
37	0.3153584453	24271094.56
38	0.3073407142	23805671.02
39	0.3013920625	23509178.02
40	0.2945958286	23183956.07
41	0.288534543	22938430.65
42	0.2825851216	22588894.96
43	0.2773207853	22323412.93
44	0.2711988633	21937973.55
45	0.2662025449	21678018.39
46	0.2609584569	21358527.91
47	0.2558122336	21048151.62
48	0.2520936368	20881501.54
49	0.2484954517	20686148.18
50	0.2441136975	20348797.16
51	0.240400847	20135201.8
52	0.2366156013	19885482.82
53	0.235381943	19780287.83
54	0.232133245	19610258.24
55	0.2288699334	19375647.5
56	0.2250386513	19071470.3
57	0.2230374048	18955876.83
58	0.2194815113	18647725.53
59	0.216981674	18443679.19
60	0.2136435533	18173370.05
61	0.2116063612	18064278.63
62	0.2086175223	17879014.8
63	0.2052271557	17550801.67
64	0.201247296	17206948.91
65	0.1987970255	16960265.47
66	0.1971691917	16839282.26
67	0.1951173202	16672015.23
68	0.1933077897	16511597.12
69	0.1907356335	16221977.19
70	0.1884104405	15973871.27
71	0.1869983693	15852822.31
72	0.1847496509	15606756.4
73	0.1826446254	15361905.05
74	0.1809471957	15169453.15
75	0.179412765	14970136.59
76	0.1780326878	14818700.12
77	0.1764888008	14617697.29
78	0.1754997573	14518091.4
79	0.1741468219	14327307.92
80	0.173042275	14259728.39
81	0.1718944981	14158163.93
82	0.1705435844	13969591.11
83	0.1691725679	13862859.72
84	0.1681018848	13798297.03
85	0.1670897459	13738093.23
86	0.1657272489	13564920.06
87	0.1646208077	13394617.12
88	0.1637526806	13299056.24
89	0.1628571594	13255209.36
90	0.1617875541	13135846.15
91	0.1606850291	13069998.34
