iter	Passed	Remaining
0	2	4026
1	4	3299
2	6	3134
3	8	3024
4	9	2970
5	11	2927
6	13	2920
7	15	2895
8	17	2865
9	19	2834
10	20	2815
11	22	2809
12	24	2797
13	26	2786
14	27	2769
15	29	2769
16	31	2770
17	33	2764
18	35	2754
19	37	2754
20	39	2755
21	40	2749
22	42	2748
23	45	2774
24	47	2789
25	49	2789
26	51	2782
27	51	2721
28	53	2725
29	55	2727
30	57	2728
31	59	2732
32	61	2739
33	63	2742
34	65	2745
35	67	2744
36	69	2748
37	71	2746
38	73	2746
39	75	2748
40	77	2760
41	79	2764
42	81	2767
43	83	2768
44	85	2773
45	87	2773
46	89	2773
47	91	2772
48	93	2771
49	95	2769
50	97	2767
51	99	2766
52	101	2767
53	103	2767
54	105	2767
55	107	2766
56	109	2765
57	111	2763
58	113	2763
59	115	2761
60	116	2759
61	119	2765
62	121	2763
63	123	2762
64	125	2765
65	127	2765
66	129	2765
67	131	2761
68	133	2761
69	135	2765
70	138	2777
71	139	2775
72	141	2774
73	143	2773
74	145	2771
75	147	2770
76	150	2772
77	151	2770
78	153	2767
79	155	2766
80	157	2764
81	159	2765
82	161	2764
83	163	2763
84	166	2766
85	168	2765
86	170	2765
87	172	2770
88	174	2770
89	176	2769
90	178	2768
91	181	2775
92	183	2773
93	185	2771
94	187	2770
95	189	2775
96	191	2776
97	194	2777
98	196	2782
99	199	2786
100	201	2786
101	203	2785
102	205	2785
103	207	2784
104	209	2784
105	211	2783
106	213	2784
107	215	2782
108	217	2778
109	219	2777
110	221	2774
111	223	2772
112	225	2770
113	227	2770
114	229	2769
115	231	2766
116	233	2763
117	235	2762
118	237	2761
119	239	2758
120	241	2755
121	243	2754
122	245	2751
123	247	2748
124	249	2745
125	251	2743
126	253	2741
127	255	2739
128	257	2736
129	259	2735
130	261	2733
131	263	2731
132	265	2728
133	268	2732
134	270	2732
135	272	2730
136	274	2727
137	276	2727
138	278	2725
139	280	2721
140	282	2718
141	284	2718
142	286	2715
143	288	2712
144	289	2709
145	291	2707
146	293	2705
147	295	2702
148	297	2699
149	299	2698
150	301	2696
151	303	2693
152	305	2690
153	307	2687
154	309	2684
155	311	2682
156	313	2679
157	315	2677
158	317	2675
159	319	2672
160	321	2670
161	323	2667
162	325	2666
163	327	2664
164	329	2663
165	331	2661
166	333	2659
167	335	2656
168	337	2654
169	339	2653
170	341	2651
171	343	2649
172	345	2647
173	347	2645
174	349	2643
175	351	2640
176	352	2638
177	354	2636
178	356	2634
179	358	2632
180	360	2630
181	362	2628
182	364	2626
183	366	2622
184	368	2620
185	370	2618
186	372	2616
187	374	2614
188	376	2612
189	378	2610
190	380	2608
191	382	2606
192	384	2604
193	386	2602
194	388	2600
195	390	2598
196	392	2596
197	394	2594
198	396	2592
199	398	2590
200	400	2588
201	402	2586
202	404	2584
203	406	2582
204	408	2579
205	410	2577
206	412	2575
207	414	2573
208	416	2571
209	418	2568
210	420	2567
211	422	2565
212	424	2563
213	426	2561
214	428	2558
215	430	2556
216	431	2554
217	434	2552
218	436	2550
219	437	2547
220	439	2545
221	441	2543
222	443	2542
223	445	2540
224	447	2538
225	449	2536
226	452	2535
227	454	2533
228	456	2531
229	458	2529
230	460	2527
231	461	2524
232	463	2522
233	465	2520
234	467	2519
235	469	2516
236	471	2514
237	473	2511
238	475	2509
239	477	2507
240	479	2505
241	481	2503
242	483	2501
243	485	2499
244	487	2496
245	489	2494
246	491	2491
247	493	2489
248	495	2488
249	497	2485
250	499	2484
251	501	2482
252	503	2479
253	504	2477
254	506	2474
255	508	2472
256	510	2470
257	512	2468
258	514	2466
259	516	2464
260	518	2461
261	520	2459
262	522	2457
263	524	2455
264	526	2453
265	528	2451
266	530	2450
267	532	2448
268	534	2446
269	536	2444
270	538	2442
271	540	2440
272	542	2438
273	544	2436
274	546	2434
275	548	2432
276	550	2430
277	552	2427
278	554	2426
279	556	2424
280	558	2421
281	560	2419
282	562	2417
283	564	2416
284	566	2414
285	568	2412
286	570	2410
287	572	2408
288	574	2406
289	576	2404
290	578	2402
291	580	2400
292	582	2397
293	583	2395
294	586	2393
295	588	2391
296	589	2389
297	591	2387
298	593	2385
299	595	2383
300	597	2381
301	600	2380
302	602	2379
303	604	2377
304	606	2374
305	608	2372
306	610	2371
307	612	2369
308	614	2366
309	615	2364
310	618	2363
311	620	2361
312	622	2358
313	623	2356
314	626	2355
315	628	2353
316	630	2351
317	632	2349
318	634	2347
319	636	2345
320	637	2343
321	639	2340
322	641	2338
323	643	2336
324	645	2334
325	647	2333
326	649	2331
327	651	2329
328	653	2326
329	655	2324
330	657	2322
331	659	2320
332	661	2319
333	663	2317
334	665	2316
335	667	2313
336	669	2311
337	671	2309
338	673	2307
339	675	2305
340	677	2303
341	679	2301
342	681	2299
343	683	2297
344	685	2295
345	687	2293
346	689	2291
347	691	2290
348	693	2287
349	695	2285
350	697	2283
351	699	2281
352	701	2279
353	703	2277
354	705	2275
355	707	2273
356	709	2271
357	711	2269
358	713	2267
359	715	2265
360	717	2263
361	719	2261
362	721	2260
363	723	2258
364	725	2256
365	727	2253
366	729	2251
367	731	2249
368	733	2247
369	735	2245
370	737	2243
371	739	2241
372	741	2239
373	743	2237
374	745	2236
375	747	2234
376	749	2231
377	751	2230
378	753	2228
379	755	2226
380	757	2224
381	759	2222
382	761	2220
383	763	2218
384	765	2215
385	767	2213
386	769	2211
387	770	2209
388	772	2207
389	774	2204
390	776	2203
391	778	2201
392	780	2199
393	782	2197
394	784	2195
395	786	2193
396	788	2191
397	790	2188
398	792	2186
399	794	2184
400	796	2182
401	798	2180
402	800	2178
403	802	2176
404	804	2174
405	806	2172
406	808	2170
407	810	2168
408	812	2166
409	814	2164
410	816	2162
411	818	2160
412	819	2158
413	821	2155
414	823	2153
415	825	2151
416	827	2150
417	829	2147
418	831	2145
419	833	2143
420	835	2141
421	837	2139
422	839	2137
423	841	2135
424	843	2134
425	845	2131
426	847	2129
427	849	2127
428	851	2126
429	853	2124
430	855	2122
431	857	2120
432	859	2118
433	861	2116
434	863	2113
435	865	2111
436	867	2109
437	869	2107
438	871	2105
439	873	2103
440	875	2102
441	877	2100
442	879	2097
443	881	2096
444	883	2094
445	885	2092
446	887	2090
447	889	2088
448	891	2086
449	893	2084
450	895	2082
451	897	2080
452	899	2078
453	901	2075
454	903	2073
455	905	2072
456	906	2069
457	908	2067
458	910	2065
459	912	2063
460	914	2061
461	916	2059
462	918	2057
463	920	2055
464	922	2053
465	924	2052
466	926	2050
467	928	2048
468	930	2046
469	932	2043
470	934	2042
471	937	2040
472	939	2038
473	940	2036
474	942	2034
475	944	2032
476	946	2030
477	948	2028
478	950	2026
479	952	2024
480	954	2022
481	956	2020
482	958	2018
483	960	2016
484	962	2014
485	964	2012
486	966	2010
487	968	2009
488	970	2007
489	972	2005
490	974	2002
491	976	2001
492	978	1999
493	980	1997
494	982	1995
495	984	1993
496	986	1991
497	988	1989
498	990	1986
499	992	1985
500	995	1984
501	997	1982
502	999	1980
503	1001	1978
504	1003	1976
505	1004	1974
506	1006	1972
507	1008	1970
508	1010	1968
509	1012	1966
510	1014	1964
511	1016	1962
512	1018	1960
513	1020	1957
514	1022	1955
515	1024	1953
516	1026	1952
517	1028	1949
518	1030	1947
519	1032	1945
520	1034	1944
521	1036	1942
522	1038	1940
523	1041	1939
524	1043	1937
525	1045	1935
526	1047	1933
527	1049	1931
528	1051	1929
529	1053	1927
530	1055	1925
531	1057	1923
