iter	MAPE	MAE
0	0.9606461543	47000955.75
1	0.9292017723	45956488.82
2	0.8988385763	45055195
3	0.8662008004	43994856.58
4	0.8330914751	42901351.15
5	0.8053651607	41901328.05
6	0.7791862302	40937936.2
7	0.7542692963	40111905.63
8	0.7302071324	39202819.17
9	0.7064207619	38516777.63
10	0.6834280305	37795316.86
11	0.6639667121	37124512.54
12	0.6435265723	36450934.51
13	0.6248461816	35745609.2
14	0.6049609854	35200684.23
15	0.5867331191	34688910.84
16	0.5713915011	34105703.9
17	0.554216735	33575910.11
18	0.5366342544	33025909.77
19	0.5197587567	32524736.28
20	0.5036643971	32017527.98
21	0.4881363901	31551454
22	0.4733104702	31072720.67
23	0.4594444722	30672116.37
24	0.4465522958	30278586.99
25	0.4339808716	29908262.6
26	0.4223921252	29573542.12
27	0.4124533105	28998593.36
28	0.401193009	28526501.58
29	0.3906073724	28135668.37
30	0.3806460912	27719684.63
31	0.3716177471	27351802.13
32	0.3626217791	26941011.6
33	0.3537176739	26663077
34	0.3443889213	26166940.88
35	0.3359450248	25804154.67
36	0.3291528348	25526042.49
37	0.3223424246	25254401.83
38	0.3159070142	24976852.29
39	0.311108053	24732258.28
40	0.3038240622	24319454.72
41	0.2977091014	24021696.91
42	0.2929254827	23776657.15
43	0.2882908869	23576464.32
44	0.2823989968	23298473.57
45	0.276867771	22990717.25
46	0.2723320554	22717825.84
47	0.267178079	22426670.79
48	0.2620395212	22116167.46
49	0.2576747357	21812355.46
50	0.2528163205	21456384.74
51	0.2493056822	21278152.7
52	0.2449538297	20970064.99
53	0.241811003	20756045.55
54	0.2378257948	20440777.21
55	0.2341678545	20112974.32
56	0.2308860207	19831685.97
57	0.2288820645	19733673.16
58	0.2256662017	19455440.99
59	0.2231170617	19309130.13
60	0.2207048566	19092904.38
61	0.2192203064	19002232.84
62	0.216334666	18676190.26
63	0.213593855	18388676.63
64	0.2111541447	18175012.03
65	0.2091753337	17969213.53
66	0.2071083317	17761721.19
67	0.205284688	17638231.33
68	0.2031606037	17412528.2
69	0.2011552068	17173129.79
70	0.1997847402	17058908.33
71	0.1987472305	16988931.15
72	0.1969687314	16758201.98
73	0.1952132192	16525500.52
74	0.1937219957	16349046.93
75	0.1925200312	16209448.64
76	0.1913195243	16020206.22
77	0.1898128782	15834888.65
78	0.1885305799	15672280.89
79	0.1870329597	15488923.3
80	0.1859914292	15357237.56
81	0.1850970555	15231283.65
82	0.1838438404	15059303.21
83	0.1830395326	14961334.54
84	0.1819518395	14839243.56
85	0.1809155054	14734251.86
86	0.1797225212	14559298.32
87	0.1786560296	14385762.87
88	0.1776159145	14243160.63
89	0.1764896846	14083914.18
90	0.1758121621	13987398.35
91	0.175046331	13888429.79
92	0.1744338923	13776368.71
93	0.1734614093	13614371.46
94	0.1727483199	13555851.02
95	0.1718862607	13439856.85
96	0.1713505421	13412233.79
97	0.1706646049	13311094.43
98	0.1701515818	13207395.07
99	0.1697893305	13183654.09
100	0.1692116555	13087253.46
101	0.1685976921	12980782.31
102	0.168225752	12890504.98
103	0.1675604294	12801765.12
104	0.1670393746	12729159.42
105	0.166632667	12641197.21
106	0.1662579032	12582410.47
107	0.1656889799	12540396.16
108	0.164973872	12434178.67
109	0.164615023	12386689.25
110	0.1641679761	12357220.77
111	0.16363138	12291855.66
112	0.1634439323	12234702.92
113	0.1629780175	12153519.63
114	0.1625323185	12056049.77
115	0.1621457371	11992197.64
116	0.1616045104	11908856.34
117	0.1611611987	11844142.26
118	0.1605998025	11791497.4
119	0.1602422852	11726521.3
120	0.1599380132	11694216.67
121	0.1594646511	11643930.98
122	0.1590312426	11588347.26
123	0.1587666795	11579885.96
124	0.1583226785	11527850.63
125	0.1579076803	11462115.13
126	0.1573402646	11369278.42
127	0.1570626194	11362405.13
128	0.156753136	11312132.72
129	0.1565414443	11273439.53
130	0.1564345187	11258152.19
131	0.1561754119	11217634.41
132	0.1554605216	11130298.03
133	0.1552194307	11111204.43
134	0.1548702407	11090053.27
135	0.1546354375	11076628.08
136	0.1543820464	11028838.63
137	0.153976655	11010808.3
138	0.1536143239	10944298.85
139	0.1533678399	10905903.58
140	0.1530764815	10868165.81
141	0.1527731963	10813294.99
142	0.1524647144	10785152.97
143	0.1521014463	10741204.85
144	0.1520024992	10715351.31
145	0.1516138838	10695345.54
146	0.1513903222	10651846.56
147	0.1511908522	10631452.48
148	0.1509943071	10617797.85
149	0.1506663086	10605504.59
150	0.1501837339	10554173.47
151	0.149892396	10522806.1
152	0.1497502209	10495917.64
153	0.149519248	10467493.63
154	0.1491540831	10417557.4
155	0.1490246114	10414202.71
156	0.1487600245	10393348.61
157	0.1484053132	10353864.83
158	0.1481134039	10289051.51
159	0.1478835628	10256972.64
160	0.147500848	10222122.74
161	0.1472535761	10203225.87
162	0.1468072269	10129227.14
163	0.146641216	10098728.4
164	0.1464659959	10090421
165	0.1462430626	10068593.19
166	0.1459573349	10033803.8
167	0.1457024401	9986590.371
168	0.1455353703	9969883.435
169	0.1453551132	9960391.707
170	0.14512233	9954316.268
171	0.1448247939	9927447.684
172	0.1445676266	9888511.424
173	0.1443028257	9850897.777
174	0.1440774054	9826760.546
175	0.1438277932	9796307.713
176	0.1436750852	9772684.529
177	0.1434559998	9742889.763
178	0.1430352653	9690835.743
179	0.1426395011	9637272.36
180	0.1424253035	9624115.347
181	0.1422149364	9604032.542
182	0.1419666076	9583532.427
183	0.1417849235	9564578.674
184	0.1413515926	9522061.586
185	0.1411445089	9506822.024
186	0.1408502462	9471384.717
187	0.140588622	9444380.749
188	0.1403707338	9440016.511
189	0.1401350331	9425083.463
190	0.1399785722	9406448.658
191	0.1398197851	9392797.152
192	0.1393507241	9348898.741
193	0.139035519	9329661.227
194	0.1388354656	9301370.797
195	0.1385803649	9294912.485
196	0.1382885627	9267277.832
197	0.1380246226	9255047.984
198	0.1378344795	9237261.543
199	0.1377177034	9227173.84
200	0.1375077244	9218261.261
201	0.1372820191	9197679.997
202	0.1370838586	9189791.25
203	0.1368827047	9168381.762
204	0.1367424686	9165973.148
205	0.1364001573	9123315.891
206	0.1360971085	9083754.288
207	0.135734439	9054236.514
208	0.1355761603	9028597.861
209	0.1351504152	8996050.731
210	0.1349247436	8985439.95
211	0.1347283561	8954518.899
212	0.1344890935	8933579.343
213	0.1342096732	8927229.06
214	0.1339797113	8893696.367
215	0.1337894285	8878302.439
216	0.1335768987	8846712.928
217	0.1334540607	8828772.365
218	0.1332885536	8810770.441
219	0.1330699585	8794962.544
220	0.1329293815	8781771.361
221	0.1326561434	8767106.087
222	0.132436578	8761759.311
223	0.1322789379	8758126.406
224	0.1320988298	8752022.342
225	0.1319698169	8743818.707
226	0.1316166938	8700649.492
227	0.131381275	8675702.351
228	0.1312215606	8662954.63
229	0.1310707881	8657819.073
230	0.1309048631	8648499.076
231	0.1306528365	8616069.666
232	0.1304336527	8604115.671
233	0.130152248	8586859.739
234	0.1298617819	8572705.789
235	0.1295799204	8558136.23
236	0.1294918899	8549214.839
237	0.1292047238	8534298.544
238	0.1289705101	8523757.272
239	0.1287101484	8519127.84
240	0.1285141404	8512212.37
241	0.1283462424	8503799.163
242	0.1280560101	8495016.393
243	0.1279215245	8491779.39
244	0.127723975	8482007.811
245	0.12762919	8474553.519
246	0.1275470903	8466253.362
247	0.1272391302	8441924.001
248	0.1271205565	8422818.229
249	0.126835257	8411946.831
250	0.126687932	8408927.357
251	0.1264884009	8401886.866
252	0.1263950695	8398967.163
253	0.1262331712	8386747.796
254	0.1260847125	8376265.523
255	0.1258191271	8348786.974
256	0.125658592	8325427.151
257	0.1253952161	8317658.533
258	0.125342616	8312915.143
259	0.1250668355	8303531.857
260	0.1248305139	8286678.516
261	0.1245365673	8265888.123
262	0.1243854368	8260540.118
263	0.12417617	8249093.662
264	0.1239988719	8241482.321
265	0.1238810491	8233753.634
266	0.1237158816	8229795.76
267	0.1235333711	8209199.28
268	0.1234625351	8201789.033
269	0.123188947	8188908.016
270	0.1228434683	8176938.354
271	0.1226808021	8158925.559
272	0.122539106	8149697.659
273	0.1224197154	8138925.077
274	0.1222460259	8121760.809
275	0.1220206044	8116843.466
276	0.1217432449	8107961.593
277	0.1215058366	8096192.445
278	0.1212829228	8089353.718
279	0.1211186799	8082189.208
280	0.1210329247	8073122.502
281	0.1208789035	8065153.131
282	0.1207183489	8053896.467
283	0.1206630957	8046041.09
284	0.1205923791	8044329.858
285	0.1204398583	8032995.374
286	0.1203065787	8025232.898
287	0.1201804117	8016594.805
288	0.1199699121	8009208.335
289	0.1198403903	7997035.032
290	0.1196991647	7989633.243
291	0.1196225575	7983460.863
292	0.1194506427	7956611.142
293	0.119269647	7946436.776
294	0.1191279069	7910803.133
295	0.1190205207	7905598.745
296	0.1187973059	7898614.892
297	0.1186855737	7891392.78
298	0.1185071343	7877768.293
299	0.1183898652	7868861.377
300	0.1182715879	7861725.183
301	0.1181918216	7856620.689
302	0.1180876502	7852831.915
303	0.1178815909	7832627.706
304	0.1178215687	7826004.263
305	0.1176498652	7817132.891
306	0.1175359477	7814334.332
307	0.1173341174	7803278.613
308	0.1171875948	7794318.36
309	0.1168809369	7758969.153
310	0.1167971839	7748557.812
311	0.1166944259	7739973.479
312	0.1164835564	7716953.166
313	0.1163762118	7704464.57
314	0.1162829319	7698780.896
315	0.1160197115	7675579.089
316	0.1158778159	7669995.722
317	0.1157676794	7666720.397
318	0.1156334253	7659958.354
319	0.1155747853	7653633.606
320	0.1152719281	7640545.061
321	0.1151822602	7631018.388
322	0.1150920728	7622794.153
323	0.1150199778	7619482.705
324	0.1149380143	7617942.709
325	0.114836804	7613030.738
326	0.1146922128	7600607.906
327	0.1145422277	7594400.26
328	0.1144536284	7590572.327
329	0.1143963768	7588140.733
330	0.1142902417	7572698.569
331	0.1142028861	7567533.617
332	0.1141068674	7561243.178
333	0.1139354296	7552005.997
334	0.1138020622	7544763.013
335	0.1137277942	7540755.683
336	0.1136306654	7535959.539
337	0.1134828065	7526780.843
338	0.1133817646	7523212.008
339	0.1132791603	7518032.997
340	0.1131095983	7513741.154
341	0.1128874866	7497133.364
342	0.112674867	7481050.176
343	0.1125733001	7477092.799
344	0.1123935773	7471912.492
345	0.1123465216	7468945.24
346	0.1122038331	7463936.864
347	0.1120834881	7459936.233
348	0.1119463143	7456403.481
349	0.1117232219	7450139.41
350	0.1115073444	7435759.016
351	0.111338098	7427721.737
352	0.1111571059	7422301.994
353	0.111072371	7416771.018
354	0.1109999519	7410820.651
355	0.1109061728	7408942.977
356	0.1107612368	7391899.609
357	0.1106289796	7387283.484
358	0.1104738268	7380162.608
359	0.1104313717	7378531.269
360	0.110248112	7374662.177
361	0.1101051884	7369500.702
362	0.1097501086	7349368.371
363	0.1096039642	7346857.585
364	0.1095445687	7341586.929
365	0.109357522	7310223.956
366	0.1091864895	7299994.03
367	0.1090748423	7289347.302
368	0.1089830563	7287614.957
369	0.1088397697	7282411.35
370	0.108687768	7277181.458
371	0.1085441095	7269771.972
372	0.108453883	7263229.486
373	0.108337353	7260836.032
374	0.1082580701	7259573.888
375	0.1081493005	7253700.84
376	0.1080119408	7246738.577
377	0.1079238628	7245444.342
378	0.1077796772	7243335.243
379	0.1076298515	7240859.249
380	0.1075338611	7238707.147
381	0.1074673605	7237633.053
382	0.1074237536	7236697.87
383	0.1073616828	7235447.038
384	0.1073067498	7234782.692
385	0.10722743	7233262.332
386	0.1070666159	7224047.458
387	0.1069074887	7215237.536
388	0.1068604798	7214307.344
389	0.1067873568	7211232.532
390	0.1067292933	7209005.207
391	0.1066148763	7204025.187
392	0.1065385943	7200692.458
393	0.1063869458	7173616.561
394	0.1062794801	7171825.086
395	0.1061543492	7168987.403
396	0.1060716947	7167454.942
397	0.1060042779	7164614.332
398	0.1058158846	7158675.331
399	0.1057399813	7147593.749
400	0.1055903709	7130543.535
401	0.1055045688	7129525.656
402	0.1052323986	7104544.399
403	0.1051154892	7099904.885
404	0.1050169444	7097630.277
405	0.104983777	7096133.043
406	0.1049207099	7094517.466
407	0.1047206904	7089937.229
408	0.1045826632	7068283.143
409	0.1044655255	7065794.616
410	0.1044331343	7064367.339
411	0.1044808607	7058656.006
412	0.1044241477	7050775.79
413	0.1043122089	7048209.999
414	0.1039337608	7018695.173
415	0.1038327514	7010999.044
416	0.1037287371	7008791.194
417	0.1035952501	7005153.109
418	0.1033694503	6998823.874
419	0.1030091676	6967853.716
420	0.102985694	6967616.97
421	0.1028244841	6961196.031
422	0.1027682156	6958861.124
423	0.1027071159	6955889.724
424	0.1025705596	6949449.041
425	0.1024915891	6947088.114
426	0.1023893682	6943639.79
427	0.1022970763	6940913.616
428	0.1020378011	6905172.765
429	0.1019633651	6903295.848
430	0.1017265518	6887525.708
431	0.1015631493	6884359.456
432	0.101401594	6870842.504
433	0.1012892151	6868226.917
434	0.1012082394	6855644.598
435	0.1010792459	6852889.591
436	0.1009784766	6850029.894
437	0.1009010879	6848545.523
438	0.1008099468	6846507.635
439	0.1007273561	6843753.113
440	0.1006415739	6841482.163
441	0.1004736658	6824238.253
442	0.1004110184	6823146.513
443	0.1003258722	6821902.296
