iter	Passed	Remaining
0	2	4247
1	4	3656
2	6	3334
3	8	3284
4	11	3312
5	13	3285
6	15	3364
7	18	3408
8	20	3354
9	22	3368
10	25	3395
11	26	3341
12	28	3289
13	30	3239
14	33	3268
15	35	3251
16	36	3227
17	40	3295
18	42	3297
19	44	3266
20	46	3250
21	49	3325
22	52	3371
23	55	3414
24	58	3462
25	61	3469
26	63	3483
27	64	3402
28	66	3393
29	67	3324
30	70	3356
31	73	3377
32	75	3367
33	77	3344
34	80	3378
35	83	3375
36	85	3367
37	87	3359
38	89	3361
39	91	3352
40	94	3375
41	96	3361
42	98	3350
43	100	3341
44	103	3333
45	104	3311
46	106	3292
47	108	3276
48	109	3240
49	111	3228
50	113	3215
51	115	3209
52	117	3200
53	119	3203
54	121	3192
55	123	3179
56	125	3167
57	127	3174
58	129	3163
59	131	3153
60	133	3142
61	135	3139
62	137	3129
63	140	3151
64	142	3155
65	144	3143
66	146	3137
67	148	3125
68	151	3132
69	153	3127
70	155	3121
71	157	3127
72	159	3124
73	162	3121
74	164	3117
75	166	3115
76	168	3113
77	170	3115
78	173	3118
79	176	3133
80	178	3128
81	180	3123
82	182	3123
83	186	3139
84	188	3140
85	191	3145
86	194	3151
87	196	3150
88	199	3164
89	202	3168
90	204	3160
91	207	3170
92	210	3178
93	212	3176
94	215	3180
95	216	3172
96	218	3164
97	221	3163
98	223	3163
99	225	3156
100	227	3154
101	229	3151
102	231	3145
103	233	3138
104	236	3136
105	238	3135
106	240	3133
107	243	3134
108	245	3131
109	247	3129
110	250	3128
111	252	3125
112	254	3128
113	256	3122
114	259	3127
115	261	3123
116	264	3121
117	267	3128
118	269	3132
119	272	3132
120	275	3136
121	290	3285
122	293	3282
123	294	3270
124	297	3272
125	300	3273
126	302	3265
127	304	3265
128	306	3258
129	309	3257
130	311	3258
131	313	3252
132	315	3246
133	318	3244
134	320	3237
135	322	3230
136	323	3222
137	326	3219
138	328	3212
139	329	3204
140	331	3197
141	333	3193
142	336	3191
143	338	3185
144	340	3178
145	342	3174
146	344	3171
147	346	3167
148	348	3161
149	351	3160
150	353	3154
151	354	3146
152	356	3142
153	359	3138
154	360	3131
155	362	3126
156	364	3122
157	367	3121
158	369	3117
159	371	3110
160	373	3107
161	375	3105
162	378	3101
163	380	3097
164	382	3098
165	385	3094
166	387	3089
167	389	3085
168	391	3083
169	393	3077
170	395	3073
171	397	3070
172	399	3066
173	401	3061
174	403	3055
175	405	3049
176	407	3047
177	410	3048
178	412	3046
179	415	3046
180	417	3042
181	419	3036
182	421	3036
183	423	3031
184	426	3028
185	428	3024
186	430	3021
187	432	3015
188	434	3011
189	436	3009
190	438	3004
191	440	2999
192	442	2995
193	444	2990
194	446	2987
195	448	2982
196	450	2980
197	452	2976
198	455	2976
199	457	2974
200	459	2971
201	462	2969
202	464	2966
203	467	2966
204	468	2962
205	471	2962
206	473	2958
207	475	2954
208	478	2952
209	480	2949
210	481	2943
211	484	2940
212	486	2942
213	489	2938
214	490	2933
215	493	2933
216	495	2931
217	497	2927
218	500	2926
219	502	2926
220	505	2922
221	506	2918
222	509	2915
223	511	2913
224	513	2909
225	515	2908
226	518	2910
227	520	2905
228	523	2903
229	525	2899
230	527	2895
231	528	2890
232	530	2887
233	532	2881
234	534	2878
235	536	2874
236	538	2870
237	540	2865
238	542	2862
239	544	2858
240	547	2858
241	549	2856
242	551	2854
243	553	2851
244	555	2847
245	557	2844
246	560	2841
247	562	2840
248	564	2837
249	567	2835
250	569	2833
251	571	2831
252	573	2827
253	575	2824
254	577	2819
255	579	2816
256	582	2814
257	583	2810
258	585	2806
259	587	2802
260	590	2803
261	592	2800
262	594	2796
263	597	2797
264	599	2794
265	601	2790
266	604	2789
267	606	2786
268	608	2785
269	610	2782
270	612	2778
271	614	2775
272	616	2770
273	619	2769
274	621	2767
275	623	2764
276	626	2764
277	628	2761
278	630	2758
279	632	2755
280	635	2755
281	637	2754
282	640	2753
283	642	2749
284	644	2745
285	646	2745
286	648	2742
287	651	2740
288	653	2739
289	655	2736
290	658	2735
291	660	2732
292	662	2730
293	664	2726
294	666	2722
295	668	2719
296	671	2718
297	673	2714
298	674	2711
299	676	2707
300	678	2704
301	680	2699
302	682	2696
303	684	2692
304	686	2689
305	688	2686
306	690	2682
307	692	2679
308	694	2675
309	695	2671
310	698	2669
311	700	2669
312	703	2668
313	705	2664
314	708	2663
315	710	2660
316	712	2658
317	714	2657
318	716	2654
319	719	2652
320	721	2651
321	723	2648
322	726	2647
323	728	2643
324	731	2644
325	734	2643
326	736	2642
327	738	2639
328	740	2636
329	743	2634
330	745	2631
331	747	2628
332	749	2625
333	751	2623
334	753	2620
335	755	2618
336	758	2616
337	760	2612
338	762	2609
339	764	2606
340	766	2606
341	768	2603
342	771	2602
343	773	2600
344	775	2597
345	777	2594
346	780	2592
347	782	2590
348	784	2587
349	786	2583
350	788	2580
351	790	2579
352	792	2576
353	794	2573
354	796	2569
355	798	2566
356	800	2563
357	802	2559
358	804	2556
359	806	2553
360	808	2550
361	810	2547
362	812	2544
363	814	2542
364	817	2541
365	819	2539
366	822	2537
367	823	2534
368	826	2531
369	827	2528
370	829	2525
371	832	2523
372	834	2522
373	836	2519
374	839	2518
375	841	2515
376	843	2512
377	845	2510
378	848	2509
379	850	2507
380	852	2503
381	854	2501
382	856	2498
383	858	2494
384	860	2491
385	862	2488
386	864	2485
387	866	2482
388	868	2479
389	870	2476
390	871	2473
391	873	2469
392	875	2466
393	877	2464
394	880	2462
395	881	2458
396	884	2456
397	886	2454
398	888	2451
399	890	2449
400	893	2448
401	895	2446
402	897	2443
403	899	2441
404	902	2438
405	904	2436
406	906	2433
407	907	2430
408	910	2428
409	912	2427
410	915	2425
411	917	2424
412	919	2421
413	922	2419
414	924	2416
415	927	2415
416	928	2412
417	930	2409
418	932	2406
419	934	2403
420	937	2402
421	939	2400
422	941	2397
423	943	2395
424	946	2392
425	947	2389
426	949	2386
427	952	2385
428	954	2382
429	956	2381
430	959	2378
431	961	2375
432	963	2375
433	966	2373
434	968	2371
435	970	2368
436	972	2364
437	974	2362
438	976	2358
439	978	2356
440	979	2353
441	981	2350
442	983	2347
443	986	2345
444	987	2341
445	989	2339
446	991	2336
447	993	2333
448	995	2330
449	997	2328
450	999	2325
451	1002	2323
452	1004	2320
453	1006	2318
454	1008	2315
455	1010	2313
456	1012	2311
457	1015	2310
458	1017	2307
459	1019	2304
460	1021	2301
461	1023	2299
462	1025	2296
463	1027	2294
464	1030	2292
465	1032	2290
466	1033	2287
467	1036	2284
468	1038	2282
469	1040	2280
470	1042	2278
471	1044	2275
472	1047	2274
473	1049	2272
474	1052	2271
475	1054	2269
476	1056	2266
477	1058	2263
478	1060	2260
479	1062	2258
480	1064	2255
481	1067	2254
482	1069	2251
483	1071	2249
484	1073	2247
485	1075	2244
