iter	MAPE	MAE
0	0.7732206627	30107429.72
1	0.7547925596	29597786.63
2	0.7373168608	29009362.85
3	0.7210056795	28430771.01
4	0.7035588955	27849625.62
5	0.6882643595	27297862.45
6	0.6718371739	26733046.98
7	0.6568449521	26304369.64
8	0.6423554067	25858870.68
9	0.6267158181	25376460.59
10	0.611979863	24958413.81
11	0.5985296191	24551140.86
12	0.5848528488	24126879.76
13	0.5718575512	23740719.26
14	0.5607489013	23507215.1
15	0.5496344049	23150780.41
16	0.5380746059	22860544.32
17	0.527387475	22461350.98
18	0.5168482656	22224972.86
19	0.5070848789	21876332.46
20	0.4962008326	21462145.63
21	0.4873772313	21166771.48
22	0.4779968457	20829081.79
23	0.4686629782	20459344.9
24	0.4606657903	20186200.52
25	0.4530523901	19941054.16
26	0.4444766925	19603970.99
27	0.4384217994	19438890.87
28	0.4315196813	19204820.37
29	0.4248501972	19011075.23
30	0.4178001937	18791644.04
31	0.4105736416	18518021.7
32	0.4046148347	18352823.86
33	0.398344786	18155217.34
34	0.391462768	17938182.38
35	0.3855936824	17779383.83
36	0.3798028516	17534698.22
37	0.3732152647	17286289
38	0.3680047682	17089775.5
39	0.3626890536	16894611.65
40	0.3566868355	16682210.86
41	0.3508227184	16465894.74
42	0.3462194994	16283752.85
43	0.3418497517	16180973.24
44	0.336236764	15992961.87
45	0.3313602079	15834103.88
46	0.3264828443	15653077.01
47	0.3216692449	15479941.76
48	0.3169732364	15334600.68
49	0.3128477226	15261580.17
50	0.308748641	15157274.22
51	0.3044234844	15011610.95
52	0.3003829749	14914451.61
53	0.2974909465	14834107.87
54	0.2936116278	14704527.38
55	0.2899241015	14562531.09
56	0.2866004696	14437132.61
57	0.284013336	14373370.18
58	0.2808183311	14240769.08
59	0.2774799952	14168427.02
60	0.2739713568	14087754.31
61	0.2705042644	13964748.19
62	0.2676521205	13852555.95
63	0.2646121379	13755723.93
64	0.2613805298	13645974.58
65	0.2586153325	13595377.03
66	0.2563338092	13519557.47
67	0.2536607522	13467779.98
68	0.2515045755	13388431.83
69	0.2492294365	13319837
70	0.2473044509	13292445.94
71	0.2452555011	13220627.1
72	0.2434931341	13188087.04
73	0.241806084	13134089.76
74	0.2395873992	13080075.92
75	0.2376481211	13056005.81
76	0.2355132871	13029017.05
77	0.2335584422	12997085.95
78	0.2314071499	12919895.25
79	0.2295705498	12837524.61
80	0.2280121931	12823208.63
81	0.2259864737	12761331.11
82	0.2240887823	12697078.75
83	0.2226107712	12677087.04
84	0.2209402564	12586270.06
85	0.2189965948	12530362.43
86	0.2172318674	12504443.03
87	0.2155432006	12436872.04
88	0.2139892489	12366348.47
89	0.2121703528	12284048.21
90	0.2107122973	12262118.78
91	0.2093952386	12234888.71
92	0.208045886	12171095.01
93	0.2068239727	12124053.58
94	0.2054397527	12065749.48
95	0.204195117	12005352.39
96	0.2030793697	11988803.12
97	0.2019079969	11963864.57
98	0.2009969853	11920456.33
99	0.1999760917	11896881.29
100	0.1987450678	11866047.11
101	0.197768986	11833958.49
102	0.1968591603	11818655.51
103	0.1956136775	11765119.02
104	0.1944379658	11715614.53
105	0.1935103878	11688895.6
106	0.1925710439	11668053.89
107	0.1915035146	11639803.56
108	0.1907535267	11595021.87
109	0.1897061146	11577542.76
110	0.1889521526	11569510.16
111	0.1881146434	11559864.81
112	0.1874383407	11530747.33
113	0.1865256102	11483349.22
114	0.1855566325	11458303.95
115	0.1845708444	11433630.42
116	0.1838835794	11392822.29
117	0.1830883266	11384385.81
118	0.1822525362	11376742.25
119	0.1815908802	11334139.83
120	0.1808195903	11317933.2
121	0.1799810898	11273589.4
122	0.1793379447	11228443.68
123	0.1789510622	11225290.47
124	0.1784930086	11219876.42
125	0.1779469817	11187236.92
126	0.1773286865	11157635.77
127	0.1766881418	11117884.87
128	0.1760919578	11083964.72
129	0.1754226603	11045794.04
130	0.1748889585	11016428.9
131	0.1742569376	10993738.42
132	0.1737492523	10976016.47
133	0.1730152422	10932851.85
134	0.1724757548	10899132.78
135	0.1718870254	10858362.82
136	0.1714478973	10850092.82
137	0.1710493556	10839561.52
138	0.1706017099	10833783.65
139	0.1701222803	10817718.68
140	0.1696243695	10790621.25
141	0.1690070581	10731492.15
142	0.1685270499	10707765.81
143	0.1681421147	10704885.03
144	0.1677181444	10698061.75
145	0.1672291279	10687457.38
146	0.1667638464	10679509.77
147	0.1663281246	10664197.33
148	0.1659918521	10650287.89
149	0.1654374682	10608007.72
150	0.1649291938	10592302.91
151	0.1646077066	10572101.1
152	0.1641870493	10533952.75
153	0.1636233036	10480193.5
154	0.1633131783	10457458.89
155	0.1627666617	10441159.84
156	0.1622424273	10423724.18
157	0.1617628473	10417364.45
158	0.1614831409	10404477.34
159	0.161154839	10378788.39
160	0.1608425411	10365440.81
161	0.1603776098	10324302.38
162	0.1600727351	10290083.48
163	0.1596981933	10276718.03
164	0.1591104175	10229931.61
165	0.1587035302	10210479.04
166	0.158392992	10189363.68
167	0.1581296677	10178319.39
168	0.1578297305	10154881
169	0.1575673213	10146621.39
170	0.1571828602	10122442.13
171	0.1569214779	10101665.67
172	0.1567555784	10099924.74
173	0.1565313244	10078911.59
174	0.1563653895	10063948.5
175	0.1560520832	10058823.08
176	0.1557053005	10043241.36
177	0.1554347252	10035991.05
178	0.1552544823	10018869.09
179	0.1550463626	10010494.08
180	0.1548053635	9999533.974
