iter	Passed	Remaining
0	2	4137
1	4	3703
2	7	3542
3	9	3459
4	11	3412
5	13	3408
6	15	3370
7	17	3356
8	20	3327
9	22	3368
10	24	3349
11	26	3331
12	28	3317
13	31	3309
14	33	3296
15	35	3290
16	37	3296
17	39	3292
18	42	3286
19	44	3282
20	46	3287
21	48	3282
22	51	3275
23	53	3282
24	55	3278
25	57	3277
26	59	3270
27	61	3211
28	63	3212
29	65	3214
30	67	3214
31	70	3226
32	72	3230
33	74	3228
34	77	3230
35	79	3231
36	81	3226
37	83	3223
38	86	3227
39	88	3227
40	90	3225
41	92	3225
42	95	3230
43	97	3228
44	99	3226
45	102	3225
46	104	3224
47	106	3221
48	108	3222
49	111	3225
50	113	3223
51	115	3222
52	118	3224
53	120	3223
54	122	3221
55	124	3222
56	127	3219
57	129	3215
58	131	3216
59	134	3220
60	136	3221
61	138	3219
62	141	3220
63	143	3219
64	145	3218
65	148	3218
66	150	3218
67	152	3215
68	154	3212
69	157	3212
70	159	3213
71	162	3216
72	164	3218
73	167	3220
74	169	3224
75	172	3224
76	174	3231
77	177	3232
78	179	3234
79	182	3237
80	184	3240
81	187	3239
82	190	3245
83	192	3248
84	195	3247
85	197	3247
86	200	3251
87	202	3253
88	205	3264
89	208	3262
90	210	3262
91	213	3266
92	215	3263
93	218	3261
94	220	3259
95	222	3256
96	224	3254
97	227	3251
98	229	3251
99	232	3248
100	234	3246
101	236	3244
102	239	3242
103	241	3239
104	243	3238
105	246	3235
106	248	3231
107	250	3228
108	252	3225
109	254	3221
110	257	3217
111	259	3216
112	261	3213
113	264	3210
114	266	3207
115	268	3204
116	270	3200
117	273	3198
118	275	3196
119	277	3192
120	279	3189
121	282	3186
122	284	3185
123	285	3168
124	287	3165
125	290	3163
126	292	3160
127	294	3157
128	296	3154
129	299	3152
130	301	3150
131	303	3148
132	306	3145
133	308	3143
134	310	3141
135	312	3138
136	315	3134
137	317	3132
138	319	3131
139	321	3127
140	324	3125
141	326	3124
142	329	3122
143	331	3122
144	334	3123
145	336	3121
146	339	3123
147	341	3121
148	343	3118
149	346	3116
150	348	3116
151	351	3113
152	353	3109
153	355	3107
154	357	3104
155	360	3102
156	362	3100
157	365	3100
158	367	3097
159	369	3093
160	371	3091
161	374	3089
162	376	3087
163	378	3086
164	381	3084
165	383	3082
166	385	3078
167	388	3077
168	390	3074
169	392	3072
170	395	3070
171	397	3066
172	399	3063
173	401	3060
174	403	3058
175	406	3056
176	408	3054
177	411	3052
178	413	3049
179	415	3046
180	417	3043
181	419	3041
182	422	3038
183	424	3036
184	426	3033
185	429	3031
186	431	3029
187	433	3026
188	435	3023
189	438	3020
190	440	3018
191	442	3016
192	445	3014
193	447	3011
194	449	3008
195	451	3006
196	454	3003
197	456	3000
198	458	2998
199	460	2995
200	463	2992
201	465	2989
202	467	2987
203	469	2985
204	472	2982
205	474	2980
206	476	2978
207	479	2976
208	481	2973
209	483	2971
210	486	2969
211	488	2966
212	490	2964
213	493	2962
214	495	2959
215	497	2956
216	499	2956
217	502	2952
218	504	2950
219	506	2948
220	509	2946
221	511	2944
222	513	2941
223	516	2940
224	518	2937
225	520	2934
226	522	2932
227	525	2930
228	527	2927
229	529	2925
230	532	2923
231	534	2920
232	536	2917
233	539	2916
234	541	2913
235	543	2910
236	545	2908
237	548	2905
238	550	2903
239	552	2900
240	554	2898
241	556	2895
242	559	2893
243	561	2890
244	563	2887
245	565	2884
246	568	2881
247	570	2879
248	572	2877
249	574	2874
250	577	2872
251	579	2870
252	581	2867
253	584	2865
254	586	2862
255	588	2859
256	590	2857
257	593	2855
258	595	2853
259	597	2850
260	599	2847
261	602	2846
262	604	2843
263	606	2841
264	609	2839
265	611	2837
266	613	2835
267	616	2832
268	618	2830
269	620	2827
270	623	2825
271	625	2822
272	627	2820
273	629	2817
274	631	2814
275	634	2812
276	636	2810
277	638	2807
278	640	2805
279	643	2803
280	645	2800
281	647	2798
282	650	2796
283	652	2794
284	654	2791
285	657	2789
286	659	2787
287	661	2785
288	664	2783
289	666	2782
290	669	2779
291	671	2777
292	674	2778
293	676	2776
294	679	2773
295	681	2771
296	683	2769
297	686	2767
298	688	2764
299	690	2762
300	692	2759
301	695	2757
302	697	2755
303	699	2752
304	701	2750
305	704	2747
306	706	2745
307	708	2743
308	711	2740
309	713	2738
310	715	2735
311	717	2733
312	719	2730
313	722	2727
314	724	2725
315	726	2723
316	729	2720
317	731	2718
318	733	2715
319	735	2713
320	738	2710
321	740	2708
322	742	2706
323	744	2703
324	747	2701
325	749	2699
326	751	2697
327	754	2695
328	756	2693
329	758	2690
330	761	2688
331	763	2685
332	765	2682
333	767	2680
334	770	2678
335	772	2675
336	774	2672
337	776	2670
338	779	2668
339	781	2666
340	783	2663
341	785	2660
342	788	2658
343	790	2655
344	792	2653
345	794	2651
346	797	2648
347	799	2646
348	801	2643
349	803	2641
350	806	2638
351	808	2635
352	810	2633
353	812	2631
354	815	2628
355	817	2626
356	819	2624
357	821	2621
358	824	2619
359	826	2616
360	828	2613
361	830	2611
362	832	2608
363	835	2606
364	837	2604
365	839	2601
366	841	2598
367	843	2595
368	846	2593
369	848	2591
370	850	2589
371	853	2586
372	855	2584
373	857	2581
374	859	2579
375	861	2576
376	864	2574
377	866	2572
378	868	2569
379	870	2567
380	873	2564
381	875	2562
382	877	2560
383	879	2557
384	882	2555
385	884	2553
386	886	2550
387	889	2548
388	891	2546
389	893	2544
390	896	2541
391	898	2539
392	900	2536
393	902	2534
394	905	2533
395	907	2530
396	909	2528
397	912	2525
398	914	2523
399	916	2521
400	918	2518
401	921	2517
402	923	2514
403	925	2512
404	928	2509
405	930	2507
406	932	2505
407	935	2502
408	937	2501
409	940	2499
410	942	2496
